,index,in_id,query,answers_text,answers_count,langdetect,langid
45,60,10119.0,"Что для вас ""культура доверия"" в организации?",честность с руководством,1.0,ru,ru
46,61,10119.0,"Что для вас ""культура доверия"" в организации?",делиться переживаниями,1.0,ru,ru
47,62,10119.0,"Что для вас ""культура доверия"" в организации?",когда я могу открыто говорить,1.0,ru,ru
48,64,10119.0,"Что для вас ""культура доверия"" в организации?",можно быть услышанным,1.0,ru,ru
49,65,10119.0,"Что для вас ""культура доверия"" в организации?",можно без обиды отказать,1.0,ru,ru
50,66,10119.0,"Что для вас ""культура доверия"" в организации?",говорю об ошибках,1.0,ru,ru
51,67,10119.0,"Что для вас ""культура доверия"" в организации?",предлагаю свободно идеи,1.0,ru,ru
52,68,10119.0,"Что для вас ""культура доверия"" в организации?","все равны - и новый, и ""старый",1.0,ru,ru
53,69,10119.0,"Что для вас ""культура доверия"" в организации?",отсутствие двуличности,1.0,ru,ru
54,70,10119.0,"Что для вас ""культура доверия"" в организации?",отсутствие лжи,1.0,ru,ru
55,71,10119.0,"Что для вас ""культура доверия"" в организации?",правда подтверждается фактами,1.0,ru,ru
56,73,10119.0,"Что для вас ""культура доверия"" в организации?",отсутствие лицемерия,1.0,ru,ru
57,74,10119.0,"Что для вас ""культура доверия"" в организации?",нет двойных стандартов,1.0,ru,ru
58,75,10119.0,"Что для вас ""культура доверия"" в организации?",заявил проблему и получил,1.0,ru,ru
59,76,10119.0,"Что для вас ""культура доверия"" в организации?",заявил проблему и сам решаешь,1.0,ru,ru
60,77,10119.0,"Что для вас ""культура доверия"" в организации?",открыто выражать мнение,1.0,ru,ru
61,78,10119.0,"Что для вас ""культура доверия"" в организации?",уверенность в искренности друг,1.0,ru,ru
62,80,10119.0,"Что для вас ""культура доверия"" в организации?",не бояться говорить что думаеш,1.0,ru,ru
63,81,10119.0,"Что для вас ""культура доверия"" в организации?",обратная связь без последствий,1.0,ru,ru
64,82,10119.0,"Что для вас ""культура доверия"" в организации?",открытость информации,1.0,ru,ru
65,83,10119.0,"Что для вас ""культура доверия"" в организации?",открытый разговор,1.0,ru,ru
66,84,10119.0,"Что для вас ""культура доверия"" в организации?",незамалчивание проблем,1.0,ru,ru
67,85,10119.0,"Что для вас ""культура доверия"" в организации?",нет обсуждений  «за спиной»,1.0,ru,ru
68,88,10119.0,"Что для вас ""культура доверия"" в организации?",ошибки это нормально,1.0,ru,ru
69,90,10119.0,"Что для вас ""культура доверия"" в организации?",без двойных стандартов,1.0,ru,ru
70,92,10119.0,"Что для вас ""культура доверия"" в организации?",открытость друг к другу,1.0,ru,ru
71,93,10119.0,"Что для вас ""культура доверия"" в организации?",открытость руководителя,1.0,ru,ru
72,94,10119.0,"Что для вас ""культура доверия"" в организации?",дилемма кому и когда доверять,1.0,ru,ru
73,97,10119.0,"Что для вас ""культура доверия"" в организации?",свобода выбора методов,1.0,ru,ru
74,98,10119.0,"Что для вас ""культура доверия"" в организации?",открытое обсуждение точек рост,1.0,ru,ru
75,99,10119.0,"Что для вас ""культура доверия"" в организации?",когда не осуждают,1.0,ru,ru
76,100,10119.0,"Что для вас ""культура доверия"" в организации?",когда можешь говорить открыто,1.0,ru,ru
77,101,10119.0,"Что для вас ""культура доверия"" в организации?",твое мнение не равно увольнени,1.0,ru,ru
78,102,10119.0,"Что для вас ""культура доверия"" в организации?",важные элементы доверия - это,1.0,ru,ru
79,103,10119.0,"Что для вас ""культура доверия"" в организации?",это честность и уважение,1.0,ru,ru
80,106,10119.0,"Что для вас ""культура доверия"" в организации?",безопасное пространство,1.0,ru,ru
81,107,10119.0,"Что для вас ""культура доверия"" в организации?",открытые взаимоотношения,1.0,ru,ru
82,110,10119.0,"Что для вас ""культура доверия"" в организации?",наличие компетентных сотрудник,1.0,ru,ru
83,111,10119.0,"Что для вас ""культура доверия"" в организации?",выполняет обещанное в срок,1.0,ru,ru
84,112,10119.0,"Что для вас ""культура доверия"" в организации?",верить друг другу,1.0,ru,ru
85,113,10119.0,"Что для вас ""культура доверия"" в организации?",правила конфиденциальност,1.0,ru,ru
86,114,10119.0,"Что для вас ""культура доверия"" в организации?",возможность признавать ошибки,1.0,ru,ru
87,116,10119.0,"Что для вас ""культура доверия"" в организации?",доверие команде,1.0,ru,ru
88,117,10119.0,"Что для вас ""культура доверия"" в организации?",взаимопомощь и взаимодействие,1.0,ru,ru
89,118,10119.0,"Что для вас ""культура доверия"" в организации?",комфортная работа,1.0,ru,ru
90,119,10119.0,"Что для вас ""культура доверия"" в организации?",смело выражать мнение,1.0,ru,ru
91,120,10119.0,"Что для вас ""культура доверия"" в организации?",не быть осужденным,1.0,ru,ru
92,121,10119.0,"Что для вас ""культура доверия"" в организации?",ответственность,1.0,ru,ru
93,122,10119.0,"Что для вас ""культура доверия"" в организации?",доверительные отношения,1.0,ru,ru
94,123,10119.0,"Что для вас ""культура доверия"" в организации?",могу честно сказать свой минус,1.0,ru,ru
95,125,10119.0,"Что для вас ""культура доверия"" в организации?","сказать, что думаю",1.0,ru,ru
96,126,10119.0,"Что для вас ""культура доверия"" в организации?",когда не боятся ошибиться,1.0,ru,ru
97,127,10119.0,"Что для вас ""культура доверия"" в организации?",уметь хранить секреты,1.0,ru,ru
98,128,10119.0,"Что для вас ""культура доверия"" в организации?",быть честным,1.0,ru,ru
99,129,10119.0,"Что для вас ""культура доверия"" в организации?",доверие коллегам,1.0,ru,ru
100,131,10119.0,"Что для вас ""культура доверия"" в организации?",не страшно сказать об ошибке,1.0,ru,ru
101,132,10119.0,"Что для вас ""культура доверия"" в организации?",отсутствие наказаний за ошибки,1.0,ru,ru
102,133,10119.0,"Что для вас ""культура доверия"" в организации?",честность друг с другом,1.0,ru,ru
103,134,10119.0,"Что для вас ""культура доверия"" в организации?",возможность говорить открыто,1.0,ru,ru
104,135,10119.0,"Что для вас ""культура доверия"" в организации?",совместный диалог,1.0,ru,ru
105,137,10119.0,"Что для вас ""культура доверия"" в организации?",возможность открыто обсуждать,1.0,ru,ru
106,138,10119.0,"Что для вас ""культура доверия"" в организации?",открытость коммуникации,1.0,ru,ru
107,139,10119.0,"Что для вас ""культура доверия"" в организации?",общение,1.0,ru,ru
108,140,10119.0,"Что для вас ""культура доверия"" в организации?",не прятать ошибки,1.0,ru,ru
109,141,10119.0,"Что для вас ""культура доверия"" в организации?",поощрение культуры ownershipa,1.0,ru,ru
110,142,10119.0,"Что для вас ""культура доверия"" в организации?",доверие между сотрудниками,1.0,ru,ru
111,143,10119.0,"Что для вас ""культура доверия"" в организации?",доброжелательность,1.0,ru,ru
112,145,10119.0,"Что для вас ""культура доверия"" в организации?",безопасность быть собой,1.0,ru,ru
113,146,10119.0,"Что для вас ""культура доверия"" в организации?",толерантность к разному,1.0,ru,ru
114,147,10119.0,"Что для вас ""культура доверия"" в организации?",поддержка,1.0,ru,ru
115,148,10119.0,"Что для вас ""культура доверия"" в организации?",обоюдная открытость,1.0,ru,ru
116,149,10119.0,"Что для вас ""культура доверия"" в организации?",возможность высказывать идеи,1.0,ru,ru
117,150,10119.0,"Что для вас ""культура доверия"" в организации?",открытый диалог,1.0,ru,ru
118,151,10119.0,"Что для вас ""культура доверия"" в организации?",выдача корректной информации,1.0,ru,ru
119,153,10119.0,"Что для вас ""культура доверия"" в организации?",устойчивые нормы и правила,1.0,ru,ru
120,154,10119.0,"Что для вас ""культура доверия"" в организации?",взаимопомощь и поддержка,1.0,ru,ru
121,155,10119.0,"Что для вас ""культура доверия"" в организации?",достойный имидж организации,1.0,ru,ru
122,156,10119.0,"Что для вас ""культура доверия"" в организации?",открытость и доступность инф-и,1.0,ru,ru
123,157,10119.0,"Что для вас ""культура доверия"" в организации?",честность,1.0,ru,ru
124,158,10119.0,"Что для вас ""культура доверия"" в организации?",поддержка,1.0,ru,ru
125,159,10119.0,"Что для вас ""культура доверия"" в организации?",желание делиться информацией,1.0,ru,ru
126,161,10119.0,"Что для вас ""культура доверия"" в организации?",продуктивная работа,1.0,ru,ru
127,163,10119.0,"Что для вас ""культура доверия"" в организации?",уверенность в окружающих людях,1.0,ru,ru
128,164,10119.0,"Что для вас ""культура доверия"" в организации?",помощь без выгоды,1.0,ru,ru
129,165,10119.0,"Что для вас ""культура доверия"" в организации?",свободно выражать мнение,1.0,ru,ru
130,166,10119.0,"Что для вас ""культура доверия"" в организации?",открытость,1.0,ru,ru
131,167,10119.0,"Что для вас ""культура доверия"" в организации?",безопасность высказываний,1.0,ru,ru
132,168,10119.0,"Что для вас ""культура доверия"" в организации?",низкая бюрократия,1.0,ru,ru
133,174,1036.0,Что хорошего сделал за день?,поучаствовал в ретро,1.0,ru,ru
134,176,1036.0,Что хорошего сделал за день?,проснулся :),1.0,ru,ru
135,177,1036.0,Что хорошего сделал за день?,участвовал в совещаниях,1.0,ru,ru
136,181,1036.0,Что хорошего сделал за день?,testing answer,1.0,en,en
137,183,1036.0,Что хорошего сделал за день?,порадовал своим присутствием >.<,1.0,ru,ru
138,184,1036.0,Что хорошего сделал за день?,помыл руки,1.0,ru,ru
139,186,1036.0,Что хорошего сделал за день?,успешный успех,1.0,ru,ru
140,189,1036.0,Что хорошего сделал за день?,посмеялась,1.0,ru,ru
141,191,1036.0,Что хорошего сделал за день?,<blink>hello there</blink>,1.0,en,en
142,192,1036.0,Что хорошего сделал за день?,закрыла все задачи),1.0,ru,ru
143,195,1036.0,Что хорошего сделал за день?,<i><b>много всего</i></b>,1.0,ru,ru
144,197,1036.0,Что хорошего сделал за день?,достиг целей,1.0,ru,ru
145,201,1036.0,Что хорошего сделал за день?,провел 10 встреч,1.0,ru,ru
146,202,1036.0,Что хорошего сделал за день?,работаю вот,1.0,ru,ru
147,207,1036.0,Что хорошего сделал за день?,выполнил план,1.0,ru,ru
148,208,1036.0,Что хорошего сделал за день?,переговоры,1.0,ru,ru
149,214,11016.0,Опишите одним-двумя словами что было самым ценным для вас за этот день?,общение,1.0,ru,ru
150,215,11016.0,Опишите одним-двумя словами что было самым ценным для вас за этот день?,опыт,1.0,ru,ru
151,216,11016.0,Опишите одним-двумя словами что было самым ценным для вас за этот день?,полезно использовать в будущем,1.0,ru,ru
152,217,11016.0,Опишите одним-двумя словами что было самым ценным для вас за этот день?,понятие клиентооринтрованости,1.0,ru,ru
153,219,11016.0,Опишите одним-двумя словами что было самым ценным для вас за этот день?,общение с коллегам,1.0,ru,ru
154,220,11016.0,Опишите одним-двумя словами что было самым ценным для вас за этот день?,опыт,1.0,ru,ru
155,222,11016.0,Опишите одним-двумя словами что было самым ценным для вас за этот день?,"информ. выступающих, раб. в ко",1.0,ru,ru
156,223,11016.0,Опишите одним-двумя словами что было самым ценным для вас за этот день?,мозговой штурм,1.0,ru,ru
157,224,11016.0,Опишите одним-двумя словами что было самым ценным для вас за этот день?,общение с коллегами,1.0,ru,ru
158,225,11016.0,Опишите одним-двумя словами что было самым ценным для вас за этот день?,новое видение старого,1.0,ru,ru
159,226,11016.0,Опишите одним-двумя словами что было самым ценным для вас за этот день?,общение с коллегами,1.0,ru,ru
160,227,11016.0,Опишите одним-двумя словами что было самым ценным для вас за этот день?,новые знания,1.0,ru,ru
161,228,11016.0,Опишите одним-двумя словами что было самым ценным для вас за этот день?,новые знакомства,1.0,ru,ru
162,231,11016.0,Опишите одним-двумя словами что было самым ценным для вас за этот день?,общение с коллегами,1.0,ru,ru
163,232,11016.0,Опишите одним-двумя словами что было самым ценным для вас за этот день?,получение обратной связи,1.0,ru,ru
164,233,11016.0,Опишите одним-двумя словами что было самым ценным для вас за этот день?,"обмен опытом, знаниями",1.0,ru,ru
165,234,11016.0,Опишите одним-двумя словами что было самым ценным для вас за этот день?,"новые знания, обмен опытом",1.0,ru,ru
166,235,11016.0,Опишите одним-двумя словами что было самым ценным для вас за этот день?,общение с сотрудниками других,1.0,ru,ru
167,236,11016.0,Опишите одним-двумя словами что было самым ценным для вас за этот день?,конструктивный диалог,1.0,ru,ru
168,238,11016.0,Опишите одним-двумя словами что было самым ценным для вас за этот день?,понятие клиентоориетированност,1.0,ru,ru
169,240,11016.0,Опишите одним-двумя словами что было самым ценным для вас за этот день?,1.коммуникация между сотру,1.0,ru,ru
170,241,11016.0,Опишите одним-двумя словами что было самым ценным для вас за этот день?,2мозговой штурм по решению про,1.0,ru,ru
171,242,11016.0,Опишите одним-двумя словами что было самым ценным для вас за этот день?,идея может быть реализована,1.0,ru,ru
172,244,11016.0,Опишите одним-двумя словами что было самым ценным для вас за этот день?,опыт взаимодействия внутри аэм,1.0,ru,ru
173,245,11016.0,Опишите одним-двумя словами что было самым ценным для вас за этот день?,обмен информацией,1.0,ru,ru
174,247,11016.0,Опишите одним-двумя словами что было самым ценным для вас за этот день?,новый опыт,1.0,ru,ru
175,248,11016.0,Опишите одним-двумя словами что было самым ценным для вас за этот день?,мнения участников,1.0,ru,ru
176,251,11016.0,Опишите одним-двумя словами что было самым ценным для вас за этот день?,понимание общедивизиональных п,1.0,ru,ru
177,252,11016.0,Опишите одним-двумя словами что было самым ценным для вас за этот день?,проектная деятельность,1.0,ru,ru
178,253,11016.0,Опишите одним-двумя словами что было самым ценным для вас за этот день?,понимание разницы клиентоориен,1.0,ru,ru
179,255,11016.0,Опишите одним-двумя словами что было самым ценным для вас за этот день?,понимание клиентоцентничность,1.0,ru,ru
180,256,11016.0,Опишите одним-двумя словами что было самым ценным для вас за этот день?,к персоналу это понятие тоже о,1.0,ru,ru
181,257,11016.0,Опишите одним-двумя словами что было самым ценным для вас за этот день?,относиться,1.0,ru,ru
182,258,11016.0,Опишите одним-двумя словами что было самым ценным для вас за этот день?,новый опыт,1.0,ru,ru
183,260,11016.0,Опишите одним-двумя словами что было самым ценным для вас за этот день?,перестройка мышления под кл-ть,1.0,ru,ru
184,261,11016.0,Опишите одним-двумя словами что было самым ценным для вас за этот день?,проблематика разных оку совпад,1.0,ru,ru
185,262,11016.0,Опишите одним-двумя словами что было самым ценным для вас за этот день?,клиентоцентричность,1.0,ru,ru
186,263,11016.0,Опишите одним-двумя словами что было самым ценным для вас за этот день?,мнения и обратная связь,1.0,ru,ru
187,264,11016.0,Опишите одним-двумя словами что было самым ценным для вас за этот день?,выявление общих проблематик,1.0,ru,ru
188,266,11016.0,Опишите одним-двумя словами что было самым ценным для вас за этот день?,порешать нужные задачи,1.0,ru,ru
189,267,11016.0,Опишите одним-двумя словами что было самым ценным для вас за этот день?,поработать в новой команде,1.0,ru,ru
190,268,11016.0,Опишите одним-двумя словами что было самым ценным для вас за этот день?,понял клиентоцентричность,1.0,ru,ru
191,269,11016.0,Опишите одним-двумя словами что было самым ценным для вас за этот день?,итоговые решения,1.0,ru,ru
192,270,11016.0,Опишите одним-двумя словами что было самым ценным для вас за этот день?,обмен опытом,1.0,ru,ru
193,271,11016.0,Опишите одним-двумя словами что было самым ценным для вас за этот день?,мозговой штурм,1.0,ru,ru
194,273,11016.0,Опишите одним-двумя словами что было самым ценным для вас за этот день?,результаты сессии руководителе,1.0,ru,ru
195,275,11016.0,Опишите одним-двумя словами что было самым ценным для вас за этот день?,"общение с коллегами,новая инфа",1.0,ru,ru
196,276,11016.0,Опишите одним-двумя словами что было самым ценным для вас за этот день?,взгляд со стороны клиента,1.0,ru,ru
197,277,11016.0,Опишите одним-двумя словами что было самым ценным для вас за этот день?,взаимодействие с коллегами,1.0,ru,ru
198,278,11016.0,Опишите одним-двумя словами что было самым ценным для вас за этот день?,выявление идей для развития,1.0,ru,ru
199,279,11016.0,Опишите одним-двумя словами что было самым ценным для вас за этот день?,новая информация,1.0,ru,ru
200,281,11016.0,Опишите одним-двумя словами что было самым ценным для вас за этот день?,узнать больше информации,1.0,ru,ru
201,282,11016.0,Опишите одним-двумя словами что было самым ценным для вас за этот день?,узнать о клиентоцентричности,1.0,ru,ru
202,285,11016.0,Опишите одним-двумя словами что было самым ценным для вас за этот день?,встать на место клиента,1.0,ru,ru
203,286,11016.0,Опишите одним-двумя словами что было самым ценным для вас за этот день?,раскрыли иначе цель,1.0,ru,ru
204,288,11016.0,Опишите одним-двумя словами что было самым ценным для вас за этот день?,общение с коллегами,1.0,ru,ru
205,289,11016.0,Опишите одним-двумя словами что было самым ценным для вас за этот день?,новый опыт,1.0,ru,ru
206,291,11016.0,Опишите одним-двумя словами что было самым ценным для вас за этот день?,коммуникация,1.0,ru,ru
207,292,11016.0,Опишите одним-двумя словами что было самым ценным для вас за этот день?,"общение, обмен опытом.",1.0,ru,ru
208,293,11016.0,Опишите одним-двумя словами что было самым ценным для вас за этот день?,"выступления докладчиков, опыт",1.0,ru,ru
209,294,11016.0,Опишите одним-двумя словами что было самым ценным для вас за этот день?,командная работа,1.0,ru,ru
210,296,11016.0,Опишите одним-двумя словами что было самым ценным для вас за этот день?,новые контакты и варианты реше,1.0,ru,ru
211,297,11016.0,Опишите одним-двумя словами что было самым ценным для вас за этот день?,новые связи,1.0,ru,ru
212,298,11016.0,Опишите одним-двумя словами что было самым ценным для вас за этот день?,опыт коллег,1.0,ru,ru
213,299,11016.0,Опишите одним-двумя словами что было самым ценным для вас за этот день?,общение,1.0,ru,ru
214,302,11016.0,Опишите одним-двумя словами что было самым ценным для вас за этот день?,интересный опыт,1.0,ru,ru
215,303,11016.0,Опишите одним-двумя словами что было самым ценным для вас за этот день?,опыт общения с другими,1.0,ru,ru
216,304,11016.0,Опишите одним-двумя словами что было самым ценным для вас за этот день?,новые интересные идеи,1.0,ru,ru
217,306,11016.0,Опишите одним-двумя словами что было самым ценным для вас за этот день?,новые знания и опыт,1.0,ru,ru
218,307,11016.0,Опишите одним-двумя словами что было самым ценным для вас за этот день?,обмен опытом и идеями,1.0,ru,ru
219,308,11016.0,Опишите одним-двумя словами что было самым ценным для вас за этот день?,"совместная работа, знакомство.",1.0,ru,ru
220,309,11016.0,Опишите одним-двумя словами что было самым ценным для вас за этот день?,командная работа,1.0,ru,ru
221,310,11016.0,Опишите одним-двумя словами что было самым ценным для вас за этот день?,интересная дискуссия,1.0,ru,ru
222,311,11016.0,Опишите одним-двумя словами что было самым ценным для вас за этот день?,обмен опытом,1.0,ru,ru
223,312,11016.0,Опишите одним-двумя словами что было самым ценным для вас за этот день?,обмен опытом,1.0,ru,ru
224,313,11016.0,Опишите одним-двумя словами что было самым ценным для вас за этот день?,получить опыт,1.0,ru,ru
225,314,11016.0,Опишите одним-двумя словами что было самым ценным для вас за этот день?,командная работа,1.0,ru,ru
226,315,11016.0,Опишите одним-двумя словами что было самым ценным для вас за этот день?,коммуникация,1.0,ru,ru
227,316,11016.0,Опишите одним-двумя словами что было самым ценным для вас за этот день?,общение с коллегами,1.0,ru,ru
228,320,11016.0,Опишите одним-двумя словами что было самым ценным для вас за этот день?,brainstorm,1.0,en,en
229,321,11016.0,Опишите одним-двумя словами что было самым ценным для вас за этот день?,понимание целей и задач гк,1.0,ru,ru
230,323,11016.0,Опишите одним-двумя словами что было самым ценным для вас за этот день?,коммуникация с коллегами,1.0,ru,ru
231,324,11016.0,Опишите одним-двумя словами что было самым ценным для вас за этот день?,живое общение,1.0,ru,ru
232,325,1104.0,Ваша главная эмоции сейчас?,супер!,1.0,ru,ru
233,332,1104.0,Ваша главная эмоции сейчас?,устойчивое любопытство,1.0,ru,ru
234,336,1104.0,Ваша главная эмоции сейчас?,вдохновение,1.0,ru,ru
235,342,1104.0,Ваша главная эмоции сейчас?,стартовое волнение,1.0,ru,ru
236,346,1104.0,Ваша главная эмоции сейчас?,предчувствие неожиданного,1.0,ru,ru
237,349,1104.0,Ваша главная эмоции сейчас?,восторг,1.0,ru,ru
238,353,1104.0,Ваша главная эмоции сейчас?,восторг,1.0,ru,ru
239,354,1104.0,Ваша главная эмоции сейчас?,счастье,1.0,ru,ru
240,357,1104.0,Ваша главная эмоции сейчас?,ожидание спокойное,1.0,ru,ru
241,362,1104.0,Ваша главная эмоции сейчас?,заинтересованность,1.0,ru,ru
242,363,1104.0,Ваша главная эмоции сейчас?,спать хочется,1.0,ru,ru
243,365,1104.0,Ваша главная эмоции сейчас?,действие,1.0,ru,ru
244,366,1104.0,Ваша главная эмоции сейчас?,вдохновение,1.0,ru,ru
245,370,11152.0,Ваши ожидания от сессии,оптимизация деятельности,1.0,ru,ru
246,371,11152.0,Ваши ожидания от сессии,опыт,1.0,ru,ru
247,377,11152.0,Ваши ожидания от сессии,ответы на вопросы,1.0,ru,ru
248,378,11152.0,Ваши ожидания от сессии,пути решения проблем,1.0,ru,ru
249,379,11152.0,Ваши ожидания от сессии,выслушать все стороны,1.0,ru,ru
250,381,11152.0,Ваши ожидания от сессии,решений,1.0,ru,ru
251,382,11152.0,Ваши ожидания от сессии,откровенный диалог,1.0,ru,ru
252,383,11152.0,Ваши ожидания от сессии,новенькое,1.0,ru,ru
253,384,11152.0,Ваши ожидания от сессии,решение актуальных вопросов,1.0,ru,ru
254,386,11152.0,Ваши ожидания от сессии,новые знания,1.0,ru,ru
255,387,11152.0,Ваши ожидания от сессии,сколько месяцев тг,1.0,ru,ru
256,389,11152.0,Ваши ожидания от сессии,новые подходы,1.0,ru,ru
257,391,11152.0,Ваши ожидания от сессии,взаимодействие,1.0,ru,ru
258,392,11152.0,Ваши ожидания от сессии,образ будущего сооружения,1.0,ru,ru
259,393,11152.0,Ваши ожидания от сессии,спокойствие,1.0,ru,ru
260,394,11152.0,Ваши ожидания от сессии,прорыв,1.0,ru,ru
261,395,11152.0,Ваши ожидания от сессии,ясность,1.0,ru,ru
262,401,11152.0,Ваши ожидания от сессии,ответы на вопросы,1.0,ru,ru
263,402,11152.0,Ваши ожидания от сессии,честные выводы,1.0,ru,ru
264,404,11152.0,Ваши ожидания от сессии,развитие навыков,1.0,ru,ru
265,405,11152.0,Ваши ожидания от сессии,новые ответы,1.0,ru,ru
266,406,11152.0,Ваши ожидания от сессии,опыт,1.0,ru,ru
267,408,11152.0,Ваши ожидания от сессии,согласованные решения,1.0,ru,ru
268,410,11152.0,Ваши ожидания от сессии,образцовый блок,1.0,ru,ru
269,411,11152.0,Ваши ожидания от сессии,опыт,1.0,ru,ru
270,412,11152.0,Ваши ожидания от сессии,прорыв!,1.0,ru,ru
271,413,11152.0,Ваши ожидания от сессии,сплоченность,1.0,ru,ru
272,414,11152.0,Ваши ожидания от сессии,ответы на вопросы,1.0,ru,ru
273,421,11152.0,Ваши ожидания от сессии,ответы на вопросы,1.0,ru,ru
274,422,11152.0,Ваши ожидания от сессии,прослеживаемость,1.0,ru,ru
275,423,11152.0,Ваши ожидания от сессии,реальные решения,1.0,ru,ru
276,424,11152.0,Ваши ожидания от сессии,успех,1.0,ru,ru
277,429,11152.0,Ваши ожидания от сессии,новые решения,1.0,ru,ru
278,432,11152.0,Ваши ожидания от сессии,получить ответы на вопросы,1.0,ru,ru
279,434,11158.0,"Считаете ли вы, что ТТТ  могут помочь?","должны быть не типовые тт, а т",1.0,ru,ru
280,435,11158.0,"Считаете ли вы, что ТТТ  могут помочь?","нет, в их текущей редакции",1.0,ru,ru
281,438,11158.0,"Считаете ли вы, что ТТТ  могут помочь?","да для типового обор, а не тт",1.0,ru,ru
282,440,11158.0,"Считаете ли вы, что ТТТ  могут помочь?",что такое ттт?,1.0,ru,ru
283,441,11158.0,"Считаете ли вы, что ТТТ  могут помочь?","да, если в сквозном процессе",1.0,ru,ru
284,442,11158.0,"Считаете ли вы, что ТТТ  могут помочь?","да,для этого их и создали",1.0,ru,ru
285,444,11158.0,"Считаете ли вы, что ТТТ  могут помочь?","нет, только стандарты",1.0,ru,ru
